Encoded,MrD,vRd,TableName
T-D-MM2-VV2.2-REI120-CV30-X80-H200-6.0,31.8,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV30-X80-H200-6.0,14.5,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV30-X80-H200-6.0,29.0,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV50-X80-H240-6.0,17.2,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV50-X80-H240-6.0,34.4,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV50-X80-H240-6.0,15.9,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV50-X80-H240-6.0,31.8,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV50-X80-H240-6.0,14.5,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV50-X80-H240-6.0,29.0,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV35-X80-H210-6.0,17.9,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV35-X80-H210-6.0,35.8,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV35-X80-H210-6.0,16.5,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV35-X80-H210-6.0,33.0,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV35-X80-H210-6.0,15.1,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV35-X80-H210-6.0,30.2,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV30-X80-H210-6.0,18.6,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV30-X80-H210-6.0,37.2,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV30-X80-H210-6.0,17.2,46.4,Schock_Isokorb_T_Typ_D_6.0_2
